id,author,text,created_at,created_at_least,retweetcount,favoritecount,similarity_list_present,lis_present_manual,similarity_list_past,lis_past_manual,name_window,tag,tag_manual,audience,text_normal,weight_tweet,weigh_tweet_mean,weight_retweetcount,weight_favoritecount
816285855794855936,Bloomberg,thetermin climat chang divers rank high investor prioriti,2017-01-03 14:11:28,2017-01-03,27,0,[],,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.13363062095621217], [814494827425316865, 0.0], [814507442251796480, 0.13363062095621217], [814577460335345664, 0.0]]",,20170103_20170113,N,N,3,rt @theterminal: climate change and diversity ranks high on investor priorities:  ,1.0555047421511325,0.05550474215113265,0.0,1.0
816298287187697664,Bloomberg,solar beat coal cheapest power earth,2017-01-03 15:00:52,2017-01-03,39,17,"[[816285855794855936, 0.0]]",816285855794855936,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.0], [814577460335345664, 0.0]]",,20170103_20170113,N,NN,4,solar could beat coal to be the cheapest power on earth:  ,2.655072463768116,0.0,1.1333333333333333,1.5217391304347827
816645839099568128,Bloomberg,three decad bull market bond show sign steam,2017-01-04 14:01:55,2017-01-04,19,15,"[[816285855794855936, 0.0], [816298287187697664, 0.0]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.15811388300841897], [813407808343285760, 0.0], [813775276505067520, 0.13363062095621217], [814494827425316865, 0.15811388300841897], [814507442251796480, 0.0], [814577460335345664, 0.0]]",,20170103_20170113,N,N,4,the three-decade bull market for bonds shows signs of running out of steam:  ,1.7992709999555578,0.14709708691207957,1.0,0.6521739130434783
816689005056040960,Bloomberg,thetermin avail leagu tabl leag gogt functionoftheweek,2017-01-04 16:53:26,2017-01-04,4,0,"[[816285855794855936, 0.13363062095621217], [816298287187697664, 0.0], [816645839099568128, 0.0]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.14285714285714285], [814577460335345664, 0.0]]",,20170103_20170113,N,N,1,rt @theterminal: available now: fy 2016 league tables on leag lt,0.11488051022679367,0.11488051022679367,0.0,0.0
817059125657878529,Bloomberg,thetermin brexit still work progress month later,2017-01-05 17:24:10,2017-01-05,22,0,"[[816285855794855936, 0.13363062095621217], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.14285714285714285]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.14285714285714285], [814577460335345664, 0.16903085094570328]]",,20170103_20170113,N,N,2,rt @theterminal: why brexit is still a work in progress six months later:  ,0.9490886180723935,0.16647992242021956,0.0,0.782608695652174
818475821098627072,Bloomberg,asia financi industri line behind blockchain,2017-01-09 15:13:36,2017-01-09,27,7,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.0], [817059125657878529, 0.0]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.13608276348795434], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.1543033499620919], [814577460335345664, 0.0]]",,20170103_20170113,N,N,3,asia’s financial industry is lining up behind blockchain:  ,1.5916666666666668,0.12500000000000003,0.4666666666666667,1.0
818880146190938114,Bloomberg,challeng millenni women face workplac extend beyond differ,2017-01-10 18:00:15,2017-01-10,23,10,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.0], [817059125657878529, 0.0], [818475821098627072, 0.0]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.0], [814577460335345664, 0.0]]",,20170103_20170113,N,N,4,the challenges millennial women face in the workplace extends far beyond pay differences:  ,1.6177536231884058,0.12499999999999997,0.6666666666666666,0.8260869565217391
819202472996503552,Bloomberg,thetermin hold analyst break,2017-01-11 15:21:04,2017-01-11,9,0,"[[816285855794855936, 0.17677669529663687], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.1889822365046136], [817059125657878529, 0.1889822365046136], [818475821098627072, 0.0], [818880146190938114, 0.0]]",,"[[812326979894509570, 0.0], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.1889822365046136], [814577460335345664, 0.0]]",,20170103_20170113,N,N,1,rt @theterminal: what does 2017 hold for u.s. oil amp,0.2674088146293198,0.12455167177217698,0.0,0.14285714285714285
819555104843972608,Bloomberg,global market resist bear,2017-01-12 14:42:18,2017-01-12,6,4,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.17677669529663687], [816689005056040960, 0.0], [817059125657878529, 0.0], [818475821098627072, 0.0], [818880146190938114, 0.0], [819202472996503552, 0.0]]",816645839099568128,"[[812326979894509570, 0.0], [812668424279031808, 0.22360679774997896], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.22360679774997896], [814507442251796480, 0.0], [814577460335345664, 0.0]]",,20170103_20170113,N,NN,1,why global markets are resisting the bears:  ,0.5007202753178768,0.14709708691207962,0.26666666666666666,0.08695652173913043
819569664485269504,Bloomberg,strengthen enrich commun core principl bloomberg,2017-01-12 15:40:09,2017-01-12,6,7,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.0], [817059125657878529, 0.0], [818475821098627072, 0.0], [818880146190938114, 0.0], [819202472996503552, 0.0], [819555104843972608, 0.0]]",,"[[812326979894509570, 0.23570226039551587], [812668424279031808, 0.0], [813407808343285760, 0.0], [813775276505067520, 0.0], [814494827425316865, 0.0], [814507442251796480, 0.0], [814577460335345664, 0.18257418583505536]]",,20170103_20170113,N,N,2,strengthening and enriching our communities is one of the core principles at bloomberg:  ,0.6786231884057972,0.12500000000000003,0.4666666666666667,0.08695652173913043
821024877213863938,Bloomberg,bloombergcar today honor,2017-01-16 16:02:39,2017-01-16,26,0,[],,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.0], [817059125657878529, 0.0], [818475821098627072, 0.0], [818880146190938114, 0.0], [819202472996503552, 0.0], [819555104843972608, 0.0], [819569664485269504, 0.0]]",,20170116_20170126,N,N,1,rt @bloombergcareer: today we honor mlk. ,0.07526339461948034,0.01613743060919757,0.0,0.05912596401028278
821392602662477824,Bloomberg,autom trader take bitcoin easi money beckon,2017-01-17 16:23:51,2017-01-17,18,7,"[[821024877213863938, 0.0]]",,"[[816285855794855936, 0.0], [816298287187697664, 0.0], [816645839099568128, 0.0], [816689005056040960, 0.0], [817059125657878529, 0.0], [818475821098627072, 0.0], [818880146190938114, 0.0], [819202472996503552, 0.0], [819555104843972608, 0.0], [819569664485269504, 0.0]]",,20170116_20170126,N,N,4,automated traders take over bitcoin as easy money beckons:  ,0.35208368102851234,0.07214395937263074,0.2413793103448276,0.038560411311053984
