id,tag,audience,,,,,
458938066477268992,N,2,,,,,
458965836049702912,N,2,,,,,
459717901671759872,N,4,,,,,
459742232439181313,N,1,,,,,
460090951873363968,N,3,,,,,
460509697238257664,NN,0,,,,,
460552067652677632,N,4,,,,,
461619442792017920,N,1,,,,,
461845702893895680,N,3,,,,,
462569689521328128,N,3,,,,,
462630195078242304,NN,0,,,,,
463008184652005376,N,4,,,,,
463427395517956096,N,1,,,,,
463855018165039104,N,1,,,,,
464041906067238912,N,3,,,,,
464068822027489281,N,4,,,,,
464068943611584512,N,2,,,,,
464750250872553474,N,4,,,,,
464784865838526464,N,2,,,,,
466205956859498497,N,2,,,,,
466869604233797632,N,4,,,,,
466957977233420288,N,1,,,,,
466981311790727168,N,3,,,,,
467041194523230208,N,3,,,,,
468741664291704832,N,1,,,,,
469500029104062464,N,2,,,,,
469515499978883072,N,1,,,,,
469562256846766080,N,4,,,,,
469893720012509184,N,3,,,,,
471392485345091584,N,2,,,,,
471724554692616192,N,1,,,,,
471724741913739264,N,4,,,,,
471782376356728832,N,2,,,,,
471990342448058369,N,3,,,,,
473884816786878464,N,1,,,,,
474579758211403776,N,1,,,,,
474843069997932544,N,1,,,,,
474992433043095552,N,1,,,,,
475763228308701184,N,3,,,,,
475775876144304128,N,4,,,,,
478641353937920003,N,4,,,,,
478641390059278336,N,4,,,,,
479339848663187456,N,1,,,,,
479654828491440128,N,3,,,,,
479656636270018560,N,2,,,,,
479717101092216832,N,4,,,,,
480015938902065152,N,1,,,,,
480035111220826112,NN,0,,,,,
480055180080459776,NN,0,,,,,
480105584755499008,NN,0,,,,,
480107022029836288,NN,0,,,,,
481072698844778496,N,1,,,,,
481512823751589888,N,2,,,,,
482537692916228096,N,3,,,,,
482681785445150720,N,4,,,,,
482953679004528640,N,4,,,,,
483737670456475648,N,3,,,,,
483949090901094400,N,3,,,,,
483970483885703170,N,4,,,,,
484075268420935680,N,3,,,,,
484455843933732864,N,1,,,,,
484760371165925376,N,1,,,,,
486499913468215296,N,2,,,,,
486572912363995136,N,2,,,,,
486592536015024128,N,2,,,,,
486650758038032384,N,4,,,,,
487155298147127296,N,2,,,,,
488682638790918144,N,3,,,,,
488711199807111168,NN,0,,,,,
488749849526169601,N,2,,,,,
488842129792192512,N,1,,,,,
489047101436067842,N,4,,,,,
489435787440951297,N,1,,,,,
489467078253219840,N,1,,,,,
489502649675689985,N,2,,,,,
489804459372204032,N,4,,,,,
489823245848563713,NN,0,,,,,
489839827924570112,N,4,,,,,
489912453434974208,N,3,,,,,
490147835976089600,N,2,,,,,
490564596445753346,N,4,,,,,
491320213162713088,N,3,,,,,
491562296800710656,N,3,,,,,
491623188162699265,N,1,,,,,
491671891309256704,NN,0,,,,,
491932997252571136,N,1,,,,,
492007742790324224,N,4,,,,,
492335837128826880,N,1,,,,,
492415167616286720,N,2,,,,,
492720026735378433,NN,0,,,,,
492757807729754112,N,1,,,,,
493093161850662913,N,4,,,,,
495247113148985347,N,4,,,,,
496952452005261312,N,1,,,,,
499634052006432768,N,2,,,,,
502809046022647809,N,3,,,,,
503591969000398848,N,2,,,,,
504664597488361473,N,4,,,,,
504689549919137793,NN,0,,,,,
504977056065937408,N,1,,,,,
505371879855890434,N,1,,,,,
510871181571137536,N,3,,,,,
511635097448357888,N,1,,,,,
511651481851002880,N,2,,,,,
511661557114503169,N,1,,,,,
511672603791335424,N,1,,,,,
512582868460388352,NN,0,,,,,
512701932268310528,N,3,,,,,
512949730390081536,N,1,,,,,
512950024637251584,N,2,,,,,
